sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:17",,,,,"Da dieser Stupa sich in Bodhgaya in Indien befindet, wird er Bodhgaya-Stupa genannt. Der Überlieferung nach wurde er 100 Jahre nach dem Tode Buddhas errichtet. Seine Gestalt ist einzigartig, er steht auf einem breiten Fundament und ist geschichtsträchtig. Der Stupa hat ca. 1000 Kämmerchen, das jeweils eine Buddha-Statue beherbergt. In dem Haupttempel des Stupas gibt es eine lebensgroße Statue des Buddha.. Diese Figur wird auf Tibetisch ""Jowo Jangchub Chenpo"" genannt"". Sie ist umgeben von unzähligen kleinen Stupas. Für die Herstellung dieser Thangka wird ca ein halbes Jahr benötigt. auch bei dieser Thangka war die Vorlage der Katalog Weisheit und Liebe.",,,,0,/0/8/08_thangka_c_det3_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen",Shakyamuni,,,"Product Info Column",,4500.0000,0,Shakyamuni,/0/8/08_thangka_c_det3_7.jpg,,,,,2,5,/0/8/08_thangka_c_det3_7.jpg,,"2015-04-07 14:51:54",shakyamuni,shakyamuni.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/0/8/08_thangka_c_det3_7.jpg,,1,0
,,,,"Thangkas/Thangkas für Tempel",Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sonderanfertigungen,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:17",,,,,"Gebetsfahne 15x15 Gesamtlänge ca 4 Meter",,,,0,/1/0/105gebetsfahnen_14.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Gebetsfahne 15x15 Gesamtlänge ca 4 Meter",,,"Product Info Column",,5.1999,0,"Gebetsfahne 15x15 Gesamtlänge ca 4 Meter",/1/0/105gebetsfahnen_14.jpg,,,,,1,5,,,"2015-04-07 14:51:54",gebetsfahne-15x15-gesamtlange-ca-4-meter,gebetsfahne-15x15-gesamtlange-ca-4-meter.html,4,10.0000,4.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,"weiteres/Gebetsfahnen und Wandbehänge",Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:17",,,,,"Die Länge der Malakette wurdegemesen als diese noch nicht zu einer Kette zusammengebunden waren. Abweichungen von ca 2cm sind möglich.",,,,0,/h/p/hpim4695_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Rosenholzmala mit 8mm Perlen länge 68cm",,,"Product Info Column",,10.0000,0,"Rosenholzmala mit 8mm Perlen länge 68cm",/h/p/hpim4695_7.jpg,,,,,1,5,,,"2015-04-07 14:51:54",rosenholzmala-mit-8mm-perlen-lange-68cm,rosenholzmala-mit-8mm-perlen-lange-68cm.html,4,10.0000,10.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,"Malas/Mala mit 108 Perlen",Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:17",,,,,"Die Länge der Malakette wurdegemesen als diese noch nicht zu einer Kette zusammengebunden waren. Abweichungen von ca 2cm sind möglich.",,,,0,/h/p/hpim4697_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Bodhiholzmala 11mmPerlen Länge 83cm",,,"Product Info Column",,9.9000,0,"Bodhiholzmala 11mmPerlen Länge 83cm",/h/p/hpim4697_7.jpg,,,,,1,5,,,"2015-04-07 14:51:54",bodhiholzmala-11mmperlen-lange-83cm,bodhiholzmala-11mmperlen-lange-83cm.html,4,10.0000,5.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,"Malas/Mala mit 108 Perlen",Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:17",,,,,"Die Länge der Malakette wurdegemesen als diese noch nicht zu einer Kette zusammengebunden waren. Abweichungen von ca 2cm sind möglich.",,,,0,/k/i/kirsch_mit_schmuckst._7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Rosenholzmala mit 8mm Perlen  mit Schmucksteinen länge 70cm",,,"Product Info Column",,14.0000,0,"Rosenholzmala mit 8mm Perlen  mit Schmucksteinen länge 70cm",/k/i/kirsch_mit_schmuckst._7.jpg,,,,,1,5,no_selection,,"2015-04-07 14:51:54",amethyst-mala-mit-7mm-perlen-lange-74-cm,amethyst-mala-mit-7mm-perlen-lange-74-cm.html,4,10.0000,9.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,"Malas/Mala mit 108 Perlen",Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:17",,,,,"Yakknochenmala Länge 71cm",,,,0,/2/0/2007_malakn_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Yakknochenmala Länge 71cm",,,"Product Info Column",,19.5001,0,"Yakknochenmala Länge 71cm",/2/0/2007_malakn_7.jpg,,,,,1,5,,,"2015-04-07 14:51:54",yakknochenmala-lange-71cm,yakknochenmala-lange-71cm.html,4,10.0000,4.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,"Malas/Mala mit 108 Perlen",Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:17",,,,,"Die Länge der Malakette wurdegemesen als diese noch nicht zu einer Kette zusammengebunden waren. Abweichungen von ca 2cm sind möglich.",,,,0,/h/p/hpim4701_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Sandelholzmala 5mm Perlen Länge 38cm",,,"Product Info Column",,6.9000,0,"Sandelholzmala 5mm Perlen Länge 38cm",/h/p/hpim4701_7.jpg,,,,,1,5,,,"2015-04-07 14:51:54",sandelholzmala-5mm-perlen-lange-38cm,sandelholzmala-5mm-perlen-lange-38cm.html,4,10.0000,5.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
